   Meter ID  = 10250062 
   Pulse output  = 1 (12) 
   Type  = Water (0) 
   Current Status  = OK (0) 
   Readings received  = 30 
   Time since last reading  = 22 minutes
   Time between readings  = 1440 minutes
   Logged Readings  =  
      Read 1 = 1030	Time: 4/4/2016 10:34 
      Read 2 = 1025	Time: 4/3/2016 10:34 
      Read 3 = 1012	Time: 4/2/2016 10:34 
      Read 4 = 1003	Time: 4/1/2016 10:34 
      Read 5 = 995	Time: 3/31/2016 10:34 
      Read 6 = 987	Time: 3/30/2016 10:34 
      Read 7 = 982	Time: 3/29/2016 10:34 
      Read 8 = 975	Time: 3/28/2016 10:34 
      Read 9 = 970	Time: 3/27/2016 10:34 
      Read 10 = 964	Time: 3/26/2016 10:34 
      Read 11 = 961	Time: 3/25/2016 10:34 
      Read 12 = 955	Time: 3/24/2016 10:34 
      Read 13 = 952	Time: 3/23/2016 10:34 
      Read 14 = 943	Time: 3/22/2016 10:34 
      Read 15 = 937	Time: 3/21/2016 10:34 
      Read 16 = 929	Time: 3/20/2016 10:34 
      Read 17 = 921	Time: 3/19/2016 10:34 
      Read 18 = 917	Time: 3/18/2016 10:34 
      Read 19 = 907	Time: 3/17/2016 10:34 
      Read 20 = 899	Time: 3/16/2016 10:34 
      Read 21 = 893	Time: 3/15/2016 10:34 
      Read 22 = 887	Time: 3/14/2016 10:34 
      Read 23 = 883	Time: 3/13/2016 10:34 
      Read 24 = 874	Time: 3/12/2016 10:34 
      Read 25 = 872	Time: 3/11/2016 10:34 
      Read 26 = 865	Time: 3/10/2016 10:34 
      Read 27 = 860	Time: 3/9/2016 10:34 
      Read 28 = 849	Time: 3/8/2016 10:34 
      Read 29 = 845	Time: 3/7/2016 10:34 
      Read 30 = 839	Time: 3/6/2016 10:34 

