   Meter ID  = 7810318 
   Pulse output  = 1 (12) 
   Type  = Water (0) 
   Current Status  = OK (0) 
   Readings received  = 30 
   Time since last reading  = 43 minutes
   Time between readings  = 1440 minutes
   Logged Readings  =  
      Read 1 = 5886	Time: 4/4/2016 10:42 
      Read 2 = 5877	Time: 4/3/2016 10:42 
      Read 3 = 5858	Time: 4/2/2016 10:42 
      Read 4 = 5836	Time: 4/1/2016 10:42 
      Read 5 = 5819	Time: 3/31/2016 10:42 
      Read 6 = 5807	Time: 3/30/2016 10:42 
      Read 7 = 5799	Time: 3/29/2016 10:42 
      Read 8 = 5787	Time: 3/28/2016 10:42 
      Read 9 = 5778	Time: 3/27/2016 10:42 
      Read 10 = 5766	Time: 3/26/2016 10:42 
      Read 11 = 5759	Time: 3/25/2016 10:42 
      Read 12 = 5741	Time: 3/24/2016 10:42 
      Read 13 = 5732	Time: 3/23/2016 10:42 
      Read 14 = 5722	Time: 3/22/2016 10:42 
      Read 15 = 5711	Time: 3/21/2016 10:42 
      Read 16 = 5705	Time: 3/20/2016 10:42 
      Read 17 = 5702	Time: 3/19/2016 10:42 
      Read 18 = 5696	Time: 3/18/2016 10:42 
      Read 19 = 5689	Time: 3/17/2016 10:42 
      Read 20 = 5681	Time: 3/16/2016 10:42 
      Read 21 = 5675	Time: 3/15/2016 10:42 
      Read 22 = 5668	Time: 3/14/2016 10:42 
      Read 23 = 5658	Time: 3/13/2016 10:42 
      Read 24 = 5653	Time: 3/12/2016 10:42 
      Read 25 = 5647	Time: 3/11/2016 10:42 
      Read 26 = 5635	Time: 3/10/2016 10:42 
      Read 27 = 5630	Time: 3/9/2016 10:42 
      Read 28 = 5623	Time: 3/8/2016 10:42 
      Read 29 = 5616	Time: 3/7/2016 10:42 
      Read 30 = 5610	Time: 3/6/2016 10:42 
