   Meter ID  = 7807796 
   Pulse output  = 1 (12) 
   Type  = Water (0) 
   Current Status  = OK (0) 
   Readings received  = 30 
   Time since last reading  = 17 minutes
   Time between readings  = 1440 minutes
   Logged Readings  =  
      Read 1 = 2326	Time: 4/4/2016 10:45 
      Read 2 = 2310	Time: 4/3/2016 10:45 
      Read 3 = 2297	Time: 4/2/2016 10:45 
      Read 4 = 2293	Time: 4/1/2016 10:45 
      Read 5 = 2287	Time: 3/31/2016 10:45 
      Read 6 = 2277	Time: 3/30/2016 10:45 
      Read 7 = 2270	Time: 3/29/2016 10:45 
      Read 8 = 2258	Time: 3/28/2016 10:45 
      Read 9 = 2247	Time: 3/27/2016 10:45 
      Read 10 = 2226	Time: 3/26/2016 10:45 
      Read 11 = 2217	Time: 3/25/2016 10:45 
      Read 12 = 2213	Time: 3/24/2016 10:45 
      Read 13 = 2207	Time: 3/23/2016 10:45 
      Read 14 = 2200	Time: 3/22/2016 10:45 
      Read 15 = 2200	Time: 3/21/2016 10:45 
      Read 16 = 2200	Time: 3/20/2016 10:45 
      Read 17 = 2198	Time: 3/19/2016 10:45 
      Read 18 = 2198	Time: 3/18/2016 10:45 
      Read 19 = 2191	Time: 3/17/2016 10:45 
      Read 20 = 2184	Time: 3/16/2016 10:45 
      Read 21 = 2174	Time: 3/15/2016 10:45 
      Read 22 = 2162	Time: 3/14/2016 10:45 
      Read 23 = 2153	Time: 3/13/2016 10:45 
      Read 24 = 2141	Time: 3/12/2016 10:45 
      Read 25 = 2138	Time: 3/11/2016 10:45 
      Read 26 = 2134	Time: 3/10/2016 10:45 
      Read 27 = 2127	Time: 3/9/2016 10:45 
      Read 28 = 2118	Time: 3/8/2016 10:45 
      Read 29 = 2108	Time: 3/7/2016 10:45 
      Read 30 = 2101	Time: 3/6/2016 10:45 

