   Meter ID  = 11602994 
   Pulse output  = 1 (12) 
   Type  = Water (0) 
   Current Status  = OK (0) 
   Readings received  = 173 
   Time since last reading  = 446 minutes
   Time between readings  = 1440 minutes
   Logged Readings  =  
      Read 1 = 24715	Time: 3/4/2016 03:53 
      Read 2 = 24705	Time: 3/3/2016 03:53 
      Read 3 = 24693	Time: 3/2/2016 03:53 
      Read 4 = 24682	Time: 3/1/2016 03:53 
      Read 5 = 24670	Time: 2/29/2016 03:53 
      Read 6 = 24654	Time: 2/28/2016 03:53 
      Read 7 = 24633	Time: 2/27/2016 03:53 
      Read 8 = 24621	Time: 2/26/2016 03:53 
      Read 9 = 24609	Time: 2/25/2016 03:53 
      Read 10 = 24597	Time: 2/24/2016 03:53 
      Read 11 = 24584	Time: 2/23/2016 03:53 
      Read 12 = 24572	Time: 2/22/2016 03:53 
      Read 13 = 24551	Time: 2/21/2016 03:53 
      Read 14 = 24528	Time: 2/20/2016 03:53 
      Read 15 = 24523	Time: 2/19/2016 03:53 
      Read 16 = 24510	Time: 2/18/2016 03:53 
      Read 17 = 24499	Time: 2/17/2016 03:53 
      Read 18 = 24483	Time: 2/16/2016 03:53 
      Read 19 = 24474	Time: 2/15/2016 03:53 
      Read 20 = 24460	Time: 2/14/2016 03:53 
      Read 21 = 24442	Time: 2/13/2016 03:53 
      Read 22 = 24429	Time: 2/12/2016 03:53 
      Read 23 = 24418	Time: 2/11/2016 03:53 
      Read 24 = 24408	Time: 2/10/2016 03:53 
      Read 25 = 24398	Time: 2/9/2016 03:53 
      Read 26 = 24387	Time: 2/8/2016 03:53 
      Read 27 = 24352	Time: 2/7/2016 03:53 
      Read 28 = 24317	Time: 2/6/2016 03:53 
      Read 29 = 24300	Time: 2/5/2016 03:53 
      Read 30 = 24290	Time: 2/4/2016 03:53 
      Read 31 = 24279	Time: 2/3/2016 03:53 
      Read 32 = 24266	Time: 2/2/2016 03:53 
      Read 33 = 24245	Time: 2/1/2016 03:53 
      Read 34 = 24235	Time: 1/31/2016 03:53 
      Read 35 = 24211	Time: 1/30/2016 03:53 
      Read 36 = 24197	Time: 1/29/2016 03:53 
      Read 37 = 24186	Time: 1/28/2016 03:53 
      Read 38 = 24175	Time: 1/27/2016 03:53 
      Read 39 = 24162	Time: 1/26/2016 03:53 
      Read 40 = 24150	Time: 1/25/2016 03:53 
      Read 41 = 24135	Time: 1/24/2016 03:53 
      Read 42 = 24113	Time: 1/23/2016 03:53 
      Read 43 = 24099	Time: 1/22/2016 03:53 
      Read 44 = 24088	Time: 1/21/2016 03:53 
      Read 45 = 24078	Time: 1/20/2016 03:53 
      Read 46 = 24069	Time: 1/19/2016 03:53 
      Read 47 = 24057	Time: 1/18/2016 03:53 
      Read 48 = 24053	Time: 1/17/2016 03:53 
      Read 49 = 24029	Time: 1/16/2016 03:53 
      Read 50 = 24020	Time: 1/15/2016 03:53 
      Read 51 = 24008	Time: 1/14/2016 03:53 
      Read 52 = 23992	Time: 1/13/2016 03:53 
      Read 53 = 23981	Time: 1/12/2016 03:53 
      Read 54 = 23968	Time: 1/11/2016 03:53 
      Read 55 = 23938	Time: 1/10/2016 03:53 
      Read 56 = 23917	Time: 1/9/2016 03:53 
      Read 57 = 23903	Time: 1/8/2016 03:53 
      Read 58 = 23888	Time: 1/7/2016 03:53 
      Read 59 = 23877	Time: 1/6/2016 03:53 
      Read 60 = 23866	Time: 1/5/2016 03:53 
      Read 61 = 23853	Time: 1/4/2016 03:53 
      Read 62 = 23847	Time: 1/3/2016 03:53 
      Read 63 = 23821	Time: 1/2/2016 03:53 
      Read 64 = 23812	Time: 1/1/2016 03:53 
      Read 65 = 23794	Time: 12/31/2015 03:53 
      Read 66 = 23782	Time: 12/30/2015 03:53 
      Read 67 = 23770	Time: 12/29/2015 03:53 
      Read 68 = 23752	Time: 12/28/2015 03:53 
      Read 69 = 23727	Time: 12/27/2015 03:53 
      Read 70 = 23710	Time: 12/26/2015 03:53 
      Read 71 = 23700	Time: 12/25/2015 03:53 
      Read 72 = 23688	Time: 12/24/2015 03:53 
      Read 73 = 23676	Time: 12/23/2015 03:53 
      Read 74 = 23664	Time: 12/22/2015 03:53 
      Read 75 = 23652	Time: 12/21/2015 03:53 
      Read 76 = 23627	Time: 12/20/2015 03:53 
      Read 77 = 23621	Time: 12/19/2015 03:53 
      Read 78 = 23609	Time: 12/18/2015 03:53 
      Read 79 = 23598	Time: 12/17/2015 03:53 
      Read 80 = 23584	Time: 12/16/2015 03:53 
      Read 81 = 23570	Time: 12/15/2015 03:53 
      Read 82 = 23556	Time: 12/14/2015 03:53 
      Read 83 = 23541	Time: 12/13/2015 03:53 
      Read 84 = 23525	Time: 12/12/2015 03:53 
      Read 85 = 23515	Time: 12/11/2015 03:53 
      Read 86 = 23504	Time: 12/10/2015 03:53 
      Read 87 = 23494	Time: 12/9/2015 03:53 
      Read 88 = 23475	Time: 12/8/2015 03:53 
      Read 89 = 23466	Time: 12/7/2015 03:53 
      Read 90 = 23441	Time: 12/6/2015 03:53 
      Read 91 = 23430	Time: 12/5/2015 03:53 
      Read 92 = 23419	Time: 12/4/2015 03:53 
      Read 93 = 23400	Time: 12/3/2015 03:53 
      Read 94 = 23389	Time: 12/2/2015 03:53 
      Read 95 = 23377	Time: 12/1/2015 03:53 
      Read 96 = 23366	Time: 11/30/2015 03:53 
      Read 97 = 23335	Time: 11/29/2015 03:53 
      Read 98 = 23322	Time: 11/28/2015 03:53 
      Read 99 = 23310	Time: 11/27/2015 03:53 
      Read 100 = 23291	Time: 11/26/2015 03:53 
      Read 101 = 23254	Time: 11/25/2015 03:53 
      Read 102 = 23244	Time: 11/24/2015 03:53 
      Read 103 = 23225	Time: 11/23/2015 03:53 
      Read 104 = 23200	Time: 11/22/2015 03:53 
      Read 105 = 23178	Time: 11/21/2015 03:53 
      Read 106 = 23165	Time: 11/20/2015 03:53 
      Read 107 = 23153	Time: 11/19/2015 03:53 
      Read 108 = 23141	Time: 11/18/2015 03:53 
      Read 109 = 23125	Time: 11/17/2015 03:53 
      Read 110 = 23111	Time: 11/16/2015 03:53 
      Read 111 = 23087	Time: 11/15/2015 03:53 
      Read 112 = 23073	Time: 11/14/2015 03:53 
      Read 113 = 23055	Time: 11/13/2015 03:53 
      Read 114 = 23041	Time: 11/12/2015 03:53 
      Read 115 = 23033	Time: 11/11/2015 03:53 
      Read 116 = 23022	Time: 11/10/2015 03:53 
      Read 117 = 23011	Time: 11/9/2015 03:53 
      Read 118 = 22990	Time: 11/8/2015 03:53 
      Read 119 = 22959	Time: 11/7/2015 03:53 
      Read 120 = 22946	Time: 11/6/2015 03:53 
      Read 121 = 22939	Time: 11/5/2015 03:53 
      Read 122 = 22936	Time: 11/4/2015 03:53 
      Read 123 = 22932	Time: 11/3/2015 03:53 
      Read 124 = 22919	Time: 11/2/2015 03:53 
      Read 125 = 22866	Time: 11/1/2015 03:53 
      Read 126 = 22849	Time: 10/31/2015 03:53 
      Read 127 = 22830	Time: 10/30/2015 03:53 
      Read 128 = 22812	Time: 10/29/2015 03:53 
      Read 129 = 22798	Time: 10/28/2015 03:53 
      Read 130 = 22789	Time: 10/27/2015 03:53 
      Read 131 = 22777	Time: 10/26/2015 03:53 
      Read 132 = 22758	Time: 10/25/2015 03:53 
      Read 133 = 22737	Time: 10/24/2015 03:53 
      Read 134 = 22725	Time: 10/23/2015 03:53 
      Read 135 = 22713	Time: 10/22/2015 03:53 
      Read 136 = 22701	Time: 10/21/2015 03:53 
      Read 137 = 22689	Time: 10/20/2015 03:53 
      Read 138 = 22675	Time: 10/19/2015 03:53 
      Read 139 = 22662	Time: 10/18/2015 03:53 
      Read 140 = 22635	Time: 10/17/2015 03:53 
      Read 141 = 22616	Time: 10/16/2015 03:53 
      Read 142 = 22603	Time: 10/15/2015 03:53 
      Read 143 = 22590	Time: 10/14/2015 03:53 
      Read 144 = 22577	Time: 10/13/2015 03:53 
      Read 145 = 22564	Time: 10/12/2015 03:53 
      Read 146 = 22534	Time: 10/11/2015 03:53 
      Read 147 = 22511	Time: 10/10/2015 03:53 
      Read 148 = 22493	Time: 10/9/2015 03:53 
      Read 149 = 22480	Time: 10/8/2015 03:53 
      Read 150 = 22461	Time: 10/7/2015 03:53 
      Read 151 = 22380	Time: 10/6/2015 03:53 
      Read 152 = 22301	Time: 10/5/2015 03:53 
      Read 153 = 22206	Time: 10/4/2015 03:53 
      Read 154 = 22183	Time: 10/3/2015 03:53 
      Read 155 = 22172	Time: 10/2/2015 03:53 
      Read 156 = 22164	Time: 10/1/2015 03:53 
      Read 157 = 22157	Time: 9/30/2015 03:53 
      Read 158 = 22148	Time: 9/29/2015 03:53 
      Read 159 = 22135	Time: 9/28/2015 03:53 
      Read 160 = 22048	Time: 9/27/2015 03:53 
      Read 161 = 21946	Time: 9/26/2015 03:53 
      Read 162 = 21932	Time: 9/25/2015 03:53 
      Read 163 = 21928	Time: 9/24/2015 03:53 
      Read 164 = 21914	Time: 9/23/2015 03:53 
      Read 165 = 21898	Time: 9/22/2015 03:53 
      Read 166 = 21883	Time: 9/21/2015 03:53 
      Read 167 = 21858	Time: 9/20/2015 03:53 
      Read 168 = 21846	Time: 9/19/2015 03:53 
      Read 169 = 21832	Time: 9/18/2015 03:53 
      Read 170 = 21818	Time: 9/17/2015 03:53 
      Read 171 = 21805	Time: 9/16/2015 03:53 
      Read 172 = No data yet 
      Read 173 = No data yet 

