   Meter ID  = 11602995
   Pulse output  = 1 (12)
   Type  = Water (0)
   Current Status  = OK (0)
   Readings received  = 173
   Time since last reading  = 446 minutes
   Time between readings  = 1440 minutes
   Logged Readings  =  
      Read 1 = 26312	Time: 12/31/2016 2:36
      Read 2 = 26291	Time: 12/30/2016 2:36
      Read 3 = 26291	Time: 12/29/2016 2:36
      Read 4 = 26283	Time: 12/28/2016 2:36
      Read 5 = 26278	Time: 12/27/2016 2:36
      Read 6 = 26260	Time: 12/26/2016 2:36
      Read 7 = 26259	Time: 12/25/2016 2:36
      Read 8 = 26232	Time: 12/24/2016 2:36
      Read 9 = 26206	Time: 12/23/2016 2:36
      Read 10 = 26192	Time: 12/22/2016 2:36
      Read 11 = 26176	Time: 12/21/2016 2:36
      Read 12 = 26152	Time: 12/20/2016 2:36
      Read 13 = 26135	Time: 12/19/2016 2:36
      Read 14 = 26131	Time: 12/18/2016 2:36
      Read 15 = 26128	Time: 12/17/2016 2:36
      Read 16 = 26114	Time: 12/16/2016 2:36
      Read 17 = 26114	Time: 12/15/2016 2:36
      Read 18 = 26085	Time: 12/14/2016 2:36
      Read 19 = 26077	Time: 12/13/2016 2:36
      Read 20 = 26054	Time: 12/12/2016 2:36
      Read 21 = 26026	Time: 12/11/2016 2:36
      Read 22 = 26001	Time: 12/10/2016 2:36
      Read 23 = 25985	Time: 12/9/2016 2:36
      Read 24 = 25976	Time: 12/8/2016 2:36
      Read 25 = 25966	Time: 12/7/2016 2:36
      Read 26 = 25940	Time: 12/6/2016 2:36
      Read 27 = 25939	Time: 12/5/2016 2:36
      Read 28 = 25932	Time: 12/4/2016 2:36
      Read 29 = 25910	Time: 12/3/2016 2:36
      Read 30 = 25881	Time: 12/2/2016 2:36
      Read 31 = 25879	Time: 12/1/2016 2:36
      Read 32 = 25876	Time: 11/30/2016 2:36
      Read 33 = 25854	Time: 11/29/2016 2:36
      Read 34 = 25827	Time: 11/28/2016 2:36
      Read 35 = 25800	Time: 11/27/2016 2:36
      Read 36 = 25786	Time: 11/26/2016 2:36
      Read 37 = 25771	Time: 11/25/2016 2:36
      Read 38 = 25755	Time: 11/24/2016 2:36
      Read 39 = 25735	Time: 11/23/2016 2:36
      Read 40 = 25709	Time: 11/22/2016 2:36
      Read 41 = 25700	Time: 11/21/2016 2:36
      Read 42 = 25690	Time: 11/20/2016 2:36
      Read 43 = 25674	Time: 11/19/2016 2:36
      Read 44 = 25655	Time: 11/18/2016 2:36
      Read 45 = 25635	Time: 11/17/2016 2:36
      Read 46 = 25624	Time: 11/16/2016 2:36
      Read 47 = 25611	Time: 11/15/2016 2:36
      Read 48 = 25604	Time: 11/14/2016 2:36
      Read 49 = 25602	Time: 11/13/2016 2:36
      Read 50 = 25602	Time: 11/12/2016 2:36
      Read 51 = 25598	Time: 11/11/2016 2:36
      Read 52 = 25587	Time: 11/10/2016 2:36
      Read 53 = 25560	Time: 11/9/2016 2:36
      Read 54 = 25536	Time: 11/8/2016 2:36
      Read 55 = 25533	Time: 11/7/2016 2:36
      Read 56 = 25529	Time: 11/6/2016 2:36
      Read 57 = 25522	Time: 11/5/2016 2:36
